ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº
ACC-001;1;Juego Vicel Para Cofre Ayco Gris ;8;1;0;Juego Vicel Para Cofre Ayco Gris ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-001.jpg;1;1;ACC-001
ACC-002;1;Juego Vicel Para Cofre Ayco Cromado ;8;1;0;Juego Vicel Para Cofre Ayco Cromado ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-002.jpg;1;1;ACC-002
ACC-003 ;1;Emblema de International ;8;1;0;Emblema de International ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-003.jpg;1;1;ACC-003 
ACC-005 ;1;Emblema Mercedez Plástico ;8;1;0;Emblema Mercedez Plástico ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-005.jpg;1;1;ACC-005 
ACC-010 ;1;Juego Contra Peso Cromado Corto 60Cm ;8;1;0;Juego Contra Peso Cromado Corto 60Cm ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-010.jpg;1;1;ACC-010 
ACC-011 ;1;Tapa Gracera Grande Cromada ;8;1;0;Tapa Gracera Grande Cromada ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-011.jpg;1;1;ACC-011 
ACC-014 ;1;Colilla Escape 4” Redonda ;8;1;0;Colilla Escape 4” Redonda ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-014.jpg;1;1;ACC-014 
ACC-015 ;1;Colilla Escape 4” Redonda Codo Corto ;8;1;0;Colilla Escape 4” Redonda Codo Corto ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-015.jpg;1;1;ACC-015 
ACC-017 ;1;Colilla Escape 4” Rect. Corta Recta ;8;1;0;Colilla Escape 4” Rect. Corta Recta ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-017.jpg;1;1;ACC-017 
ACC-021 ;1;Tubo Para Marimba Largo ;8;1;0;Tubo Para Marimba Largo ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-021.jpg;1;1;ACC-021 
ACC-022 ;1;Tubo Para Marimba Mediano Retractil ;8;1;0;Tubo Para Marimba Mediano Retractil ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-022.jpg;1;1;ACC-022 
ACC-023 ;1;Tubo Para Marimba Corto ;8;1;0;Tubo Para Marimba Corto ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-023.jpg;1;1;ACC-023 
ACC-024 ;1;Tubo Para Marimba Mini ;8;1;0;Tubo Para Marimba Mini ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-024.jpg;1;1;ACC-024 
ACC-029 ;1;Tapa Para Masa Trasera Pico ;8;1;0;Tapa Para Masa Trasera Pico ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-029.jpg;1;1;ACC-029 
ACC-030 ;1;Tapa Para Masa Trasera Romana ;8;1;0;Tapa Para Masa Trasera Romana ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-030.jpg;1;1;ACC-030 
